scoutId,regio2,regio3,street,houseNumber,geo_plz,totalRent,baseRent,serviceCharge,livingSpace,noRooms,floor,numberOfFloors,balcony,cellar,hasKitchen,garden,lift,petsAllowed,typeOfFlat,heatingType,condition,interiorQual,yearConstructed,lastRefurbish,newlyConst,energyEfficiencyClass,noParkSpaces
57040891,Berlin,Lichterfelde_Steglitz,Ostpreu&szlig;endamm,159 a,12207,1024.5,847.5,94.0,56.5,2.0,0.0,3.0,True,True,True,True,False,negotiable,apartment,central_heating,well_kept,normal,1965.0,,False,,9.0
115390175,Berlin,Schmargendorf_Wilmersdorf,no_information,,14199,2065.6,1765.6,300.0,88.28,3.0,3.0,5.0,True,True,True,False,True,no,apartment,combined_heat_and_power_plant,first_time_use,sophisticated,2020.0,,True,,1.0
113736210,Berlin,Tiergarten_Tiergarten,Werftstra&szlig;e,2,10557,1575.0,1375.0,200.0,80.0,2.0,0.0,5.0,False,False,False,False,False,no,apartment,,,,,,False,,
107375184,Berlin,Kreuzberg_Kreuzberg,no_information,,10969,1267.0,1068.0,199.0,68.04,3.0,0.0,7.0,True,False,True,False,True,negotiable,ground_floor,district_heating,first_time_use_after_refurbishment,sophisticated,2014.0,,False,,
113592323,Berlin,Niederschöneweide_Treptow,Schnellerstra&szlig;e,103,12439,648.06,555.48,61.72,30.86,1.0,3.0,6.0,True,True,True,False,True,no,apartment,floor_heating,first_time_use,sophisticated,,2019.0,False,,
113386893,Berlin,Grunewald_Wilmersdorf,no_information,,14193,2530.0,2100.0,430.0,143.45,5.0,,,True,False,False,False,False,negotiable,,central_heating,first_time_use_after_refurbishment,sophisticated,1983.0,,False,,
113143358,Berlin,Buckow_Neukölln,Angelikaweg,17-19,12357,546.0,386.0,90.0,32.86,1.0,0.0,,True,False,False,False,False,,ground_floor,,,,,2019.0,False,,
113805190,Berlin,Neu_Hohenschönhausen_Hohenschönhausen,Zingster Stra&szlig;e,6,13051,592.87,396.48,132.06,70.05,3.0,9.0,11.0,True,False,False,False,True,,apartment,central_heating,well_kept,normal,1986.0,,False,C,
113771973,Berlin,Köpenick_Köpenick,Friedenstra&szlig;e,24,12555,943.0,768.0,175.0,73.22,3.0,2.0,3.0,True,False,False,False,False,,apartment,,well_kept,normal,1995.0,,False,,
110734606,Berlin,Charlottenburg_Charlottenburg,Kaiserdamm,116,14057,1603.0,1500.0,103.0,40.0,2.0,4.0,5.0,True,True,True,False,True,,apartment,floor_heating,first_time_use,sophisticated,,,False,,
115239740,Berlin,Marienfelde_Tempelhof,Malteserstra&szlig;e,148,12277,922.0,847.0,75.0,30.0,1.0,2.0,4.0,True,False,True,False,False,negotiable,apartment,,,normal,2019.0,,True,,
107342879,Berlin,Friedrichshain_Friedrichshain,no_information,,10247,1600.0,1250.0,250.0,92.02,3.0,2.0,7.0,True,True,False,True,True,,apartment,central_heating,mint_condition,sophisticated,2016.0,,False,NO_INFORMATION,1.0
113764262,Berlin,Wedding_Wedding,Gropiusstra&szlig;e,7,13357,699.0,569.0,130.0,51.3,2.0,4.0,4.0,False,False,True,False,False,negotiable,apartment,central_heating,modernized,,1891.0,,False,D,
111150839,Berlin,Tiergarten_Tiergarten,12,A,10557,1410.0,1178.0,232.0,79.0,3.0,3.0,7.0,True,True,True,False,False,negotiable,apartment,central_heating,first_time_use,,2018.0,,True,,1.0
111056592,Berlin,Schöneberg_Schöneberg,Grunewaldstra&szlig;e,41,10825,1041.0,812.0,229.0,56.0,2.0,3.0,,True,True,True,False,True,,apartment,central_heating,first_time_use_after_refurbishment,normal,1965.0,2019.0,False,,
115343447,Berlin,Mitte_Mitte,Boyenstra&szlig;e,31,10115,750.0,700.0,50.0,15.0,1.0,5.0,,False,False,True,False,False,no,apartment,central_heating,modernized,sophisticated,,,False,,
107372641,Berlin,Friedrichshain_Friedrichshain,Andreasstra&szlig;e,22,10243,1098.9,888.9,130.0,59.26,2.0,17.0,18.0,False,True,True,False,True,negotiable,apartment,floor_heating,fully_renovated,sophisticated,2010.0,2010.0,False,,
113112315,Berlin,Kreuzberg_Kreuzberg,no_information,,10997,1900.0,1620.0,280.0,65.0,2.0,3.0,5.0,True,False,True,False,False,no,apartment,district_heating,first_time_use_after_refurbishment,luxury,1910.0,2019.0,False,,
111072410,Berlin,Wilmersdorf_Wilmersdorf,Bundesallee,34 a,10717,1350.0,1160.0,130.0,64.55,2.0,4.0,5.0,True,True,True,True,True,negotiable,apartment,central_heating,first_time_use_after_refurbishment,sophisticated,1984.0,2019.0,False,A_PLUS,
106387393,Berlin,Friedrichshain_Friedrichshain,Mainzer Stra&szlig;e,20,10247,2060.0,1715.0,345.0,122.52,4.0,3.0,,True,False,False,False,False,negotiable,apartment,central_heating,well_kept,normal,1900.0,,False,,
107358085,Berlin,Johannisthal_Treptow,S&uuml;dostallee,144,12487,986.06,790.0,89.12,59.41,2.0,3.0,3.0,True,True,True,True,False,negotiable,roof_storey,central_heating,well_kept,sophisticated,1952.0,2016.0,False,,
113707712,Berlin,Spandau_Spandau,Weverstr.,1,13595,465.44,353.69,111.75,29.88,1.0,0.0,,False,True,False,False,False,,ground_floor,district_heating,well_kept,,1952.0,,False,,
113666896,Berlin,Kreuzberg_Kreuzberg,Lobeckstra&szlig;e,75,10969,1650.0,1450.0,105.0,80.0,3.0,1.0,5.0,True,False,False,False,False,,apartment,central_heating,,,1956.0,,False,,
111196615,Berlin,Köpenick_Köpenick,Flemmingstr.,8,12555,912.12,807.12,105.0,78.59,3.0,0.0,3.0,False,True,True,True,False,negotiable,ground_floor,self_contained_central_heating,well_kept,,1910.0,,False,F,
113004610,Berlin,Charlottenburg_Charlottenburg,Grolmannstr,16,10623,3518.35,2938.35,375.0,228.31,5.0,5.0,5.0,True,True,True,False,True,,roof_storey,district_heating,well_kept,sophisticated,1895.0,2016.0,False,,
111426096,Berlin,Lichtenberg_Lichtenberg,Klara-Weyl-Stra&szlig;e,19,10365,647.73,541.93,105.8,46.0,2.0,4.0,,True,False,False,False,False,,apartment,,,,2019.0,,True,B,
110998613,Berlin,Altglienicke_Treptow,Rudowerstra&szlig;e,54,12524,1050.0,820.0,165.0,96.0,3.0,3.0,3.0,True,True,False,True,False,,apartment,central_heating,refurbished,sophisticated,1905.0,2006.0,False,,
107362292,Berlin,Reinickendorf_Reinickendorf,Hausotterstra&szlig;e,103,13409,540.0,430.0,110.0,50.0,2.0,4.0,,False,False,True,False,False,,apartment,self_contained_central_heating,well_kept,,1989.0,,False,,
106366134,Berlin,Mitte_Mitte,no_information,,10115,2309.9,1963.16,346.74,115.58,4.0,,,True,False,False,False,False,,,floor_heating,,luxury,2018.0,,True,,1.0
98710606,Berlin,Charlottenburg_Charlottenburg,Kantstr.,89,10627,1480.0,1360.0,120.0,80.0,3.0,5.0,5.0,False,False,True,False,False,no,roof_storey,gas_heating,first_time_use,luxury,1919.0,2017.0,False,,
95535876,Berlin,Köpenick_Köpenick,Gr&uuml;nauer Stra&szlig;e,75,12557,657.0,507.0,80.0,39.0,1.5,0.0,3.0,True,True,True,True,False,,raised_ground_floor,gas_heating,,sophisticated,1910.0,2018.0,False,,
107378541,Berlin,Friedrichshain_Friedrichshain,Stralauer Platz,37/38,10243,1375.57,1215.62,95.97,63.98,2.0,2.0,11.0,True,False,True,False,True,no,apartment,floor_heating,first_time_use,sophisticated,,2018.0,False,,
107384155,Berlin,Alt_Hohenschönhausen_Hohenschönhausen,Gro&szlig;e-Leege-Str.,70A,13055,432.02,302.02,130.0,38.82,1.0,1.0,,True,False,False,False,False,,apartment,district_heating,,,1933.0,,False,D,
